sitio,imperdible,tipo_atractivo,direccion,barrio,comuna,latitud,longitud
"Paseo Bolívar","NO","Sector urbano o rural de interés","CR 51 entre CL 44 y CL 53","Guayaquil","10","6.24627686","-75.57012939"
"Paseo Peatonal Ayacucho","NO","Sector urbano o rural de interés","CL 49 desde la Avenida Oriental y CR 29","Buenos Aires","9","6.24249268","-75.55609131"
"Paseo Peatonal Carabobo","NO","Sector urbano o rural de interés","CR 52 entre las CLs 44 y 53 ","La Candelaria","10","6.25128174","-75.5692749"
"Paseo Peatonal de Junín","NO","Sector urbano o rural de interés","CR 49 con CLs 51 y 54 ","La Candelaria","10","6.25152588","-75.56549072"
"Paseo Provenza","NO","Avenida y calle","CR 35 entre las CLs 10 y 7","La Florida","14","6.20690918","-75.56530762"
"Pequeño Teatro ","NO","Teatro","CR 42 No. 50 A - 12 ","Boston","10","6.24749756","-75.56158447"
"Placita de Flórez","NO","Plaza de mercado","CR 39 No. 50 - 25","Boston","10","6.24627686","-75.55969238"
"Planetario Municipal de Medellín Jesús Emilio Ramírez González","SI","Planetario","CR 52 No. 71 - 117","Sevilla","4","6.269104","-75.565979"
"Plaza Botero","SI","Plaza","CR 52 con CL 52","La Candelaria","10","6.25231934","-75.56817627"
"Plaza Cisneros ","NO","Plaza","CL 44 con CR 52 ","Guayaquil","10","6.24609375","-75.57232666"
"Plaza Gardel","NO","Plaza","CR 65 A No. 13-157","Parque Juan Pablo II","15","6.21807861","-75.58679199"
"Plaza Mayor Medellín Convenciones y Exposiciones","NO","Otro","CL 41 No. 55-80 ","La Alpujarra","10","6.24310303","-75.57641602"
"Plaza Minorista José María Villa","NO","Plaza de mercado","CL 55 A No. 57-80","San Benito","10","6.25732422","-75.57269287"
"Pueblito Paisa","NO","Plaza","CL 30 No. 55 - 64","Cerro Nutibara","16","6.23608398","-75.5802002"
"Puente de Guayaquil","NO","Otro","Avenida Regional con la CR 51","Cerro Nutibara","16","6.23388672","-75.57568359"
"Santuario Santa Laura Montoya","NO","Convento","CR 92 No. 34D - 21","Belencito","13","6.24572754","-75.61700439"
"Teatro Lido","NO","Teatro","CR 48 No. 54 - 20","Villa Nueva","10","6.25231934","-75.5645752"
"Teatro Metropolitano de Medellín José Gutiérrez Gómez","NO","Teatro","CL 41 No. 57 - 30","La Alpujarra","10","6.24310303","-75.57757568"
"Teatro Pablo Tobón Uribe","NO","Teatro","CR 40 No. 51 - 24","Boston","10","6.24749756","-75.5592041"
"Teatro Prado el Águila Descalza ","NO","Teatro","CR 45d No. 59 - 01","Los Ángeles","10","6.25469971","-75.56060791"
"Unidad Deportiva Atanasio Girardot","NO","Otro","Entre CRs 70 y 74 y CLs 48 y 50 ","U.D. Atanasio Girardot","11","6.25671387","-75.59002686"
"Unidad Deportiva de Belén Andrés Escobar Saldarriaga","NO","Estadio","CR 66 B No. 31 A - 15","Rosales","16","6.23608398","-75.58752441"
"Vía Primavera","NO","Avenida y calle","CR 37 No. 9 A","El Poblado","14","6.20812988","-75.56707764"
